floss,R,G,B,name
B5200,255,255,255,White
3865,249,247,241,Ecru
3866,250,246,241,Mocha Light
762,236,236,236,Pearl Gray Light
415,211,211,214,Pearl Gray
318,171,171,171,Steel Gray
414,140,140,140,Steel Gray Dark
317,108,108,108,Pewter Gray
3799,66,66,66,Charcoal
310,0,0,0,Black
3713,255,226,226,Salmon Very Light
761,255,201,201,Salmon Light
760,245,173,173,Salmon
349,210,16,53,Coral Dark
666,227,29,66,Bright Red
321,199,43,59,Red
815,255,20,20,Garnet
814,123,0,27,Garnet Dark
816,151,11,35,Garnet
742,255,191,87,Tangerine
743,255,231,147,Yellow Light
444,255,214,0,Lemon
307,253,237,84,Yellow
973,255,227,0,Canary
972,255,181,21,Canary Deep
970,247,139,19,Pumpkin
947,255,123,77,Burnt Orange
946,235,99,7,Tangerine Dark
900,209,88,7,Burnt Orange Dark
3864,203,182,156,Mocha Beige Light
3863,164,131,92,Mocha Beige
3862,138,110,78,Mocha Beige Dark
948,254,231,218,Peach Very Light
754,247,203,191,Peach Light
3771,244,187,169,Terra Cotta Light
758,238,170,155,Terracotta Light
3778,217,137,120,Terracotta
356,197,73,137,Terracotta Medium
3856,191,121,112,Terracotta Ultra Dark
699,0,91,4,Green
702,71,167,47,Kelly Green
703,123,181,71,Chartreuse
704,158,207,52,Chartreuse Bright
3347,113,147,92,Yellow Green
935,133,71,73,Avocado Green Dark
934,66,89,69,Avocado Green Black
936,76,88,102,Avocado Blue
937,98,113,51,Avocado Green
3753,219,226,233,Antique Blue Light
3752,199,209,219,Antique Blue
932,162,181,198,Antique Blue Medium
931,106,133,158,Antique Blue Dark
930,69,92,113,Antique Blue Very Dark
996,48,194,236,Electric Blue
995,38,150,182,Electric Blue Dark
3844,28,80,102,Turquoise Dark
3843,14,54,92,Electric Blue Dark
939,27,40,83,Navy Blue Dark
823,0,0,0,Navy Blue
820,14,54,92,Royal Blue
799,3,95,115,Blue
797,19,71,125,Royal Blue
796,17,65,109,Royal Blue Dark
825,71,129,165,Blue Dark
826,107,158,191,Blue Medium
827,189,221,237,Blue Light
828,197,232,237,Blue Very Light
3841,205,223,237,Baby Blue
938,54,31,14,Dark Brown
3371,30,17,8,Black Brown
801,101,57,25,Coffee Brown
898,73,42,19,Coffee Brown Dark
838,89,73,55,Beige Brown
840,154,124,92,Beige Brown Medium
841,182,155,126,Beige Brown Light
842,209,186,161,Beige Brown Very Light
